movie_name,release_year,budget,box_office,profit,actor,actor_fee,director,genre,imdb_rating
Legend 39,2008,30539176.0,96935527.0,66396351,Kartik Aaryan,253304641,Anurag Kashyap,Horror,6.4
Raja 40,2008,33829837.0,744882241.0,711052404,Ajay Devgn,20907996,Sanjay Leela Bhansali,Horror,6.4
Shadow 41,2003,396415124.0,1312833056.0,916417932,Ranbir Kapoor,292259323,Zoya Akhtar,Fantasy,5.8
Shadow 42,2012,,1126935664.0,753303363,Salman Khan,350452053,Zoya Akhtar,Fantasy,7.0
Legend 43,2019,361492405.0,657504883.0,296012478,Hrithik Roshan,257182060,Siddharth Anand,Romance,6.8
Shadow 44,2002,162356666.0,665819044.0,503462378,Alia Bhatt,359807534,Anurag Kashyap,Drama,8.5
Raja 45,2004,23113281.0,22734885.0,-378396,Akshay Kumar,275086880,Rohit Shetty,Crime,6.3
Tiger 46,2012,140988150.0,249441671.0,108453521,Alia Bhatt,389164473,Rajkumar Hirani,Drama,8.3
Tiger 47,2001,309254959.0,526829568.0,217574609,Kangana Ranaut,85153902,Siddharth Anand,Comedy,8.4
Storm 48,2014,338915210.0,1164021782.0,825106572,Deepika Padukone,498899749,Karan Johar,Musical,6.5
Storm 49,2007,460897953.0,1095581708.0,634683755,Ranbir Kapoor,431143090,Siddharth Anand,Romance,5.5
King 50,2017,53259801.0,151837818.0,98578017,Salman Khan,144157563,Karan Johar,Comedy,7.9
Queen 51,2001,121043367.0,965353450.0,844310083,Ajay Devgn,229098769,Rajkumar Hirani,Fantasy,6.6
Mission 52,2026,234960337.0,,527909930,Deepika Padukone,414403658,Sanjay Leela Bhansali,Crime,5.2
Shadow 53,2025,227065859.0,954649698.0,727583839,Salman Khan,471243041,Siddharth Anand,Comedy,9.4
Shadow 54,2000,55068948.0,695216131.0,640147183,Ajay Devgn,92853105,Siddharth Anand,Comedy,4.3
Storm 55,2012,159387883.0,916852281.0,757464398,Kangana Ranaut,246325894,Zoya Akhtar,Drama,6.6
Raja 56,2020,,835681806.0,788842599,Alia Bhatt,41613422,Rajkumar Hirani,Romance,5.1
Shadow 57,2003,312778860.0,1280425218.0,967646358,Akshay Kumar,269663219,Zoya Akhtar,Horror,4.9
Love 58,2005,176987748.0,243057897.0,66070149,Kartik Aaryan,33785996,Zoya Akhtar,Fantasy,6.2
Shadow 59,2007,64707845.0,763313129.0,698605284,Kareena Kapoor,181910968,Rohit Shetty,Action,5.9
King 60,2000,466112441.0,867147080.0,401034639,Kangana Ranaut,283175037,Rohit Shetty,Fantasy,9.3
Queen 61,2005,403953352.0,914174652.0,510221300,Alia Bhatt,164999380,Siddharth Anand,Crime,6.4
Love 62,2002,159748461.0,1056392740.0,896644279,Hrithik Roshan,150923185,Siddharth Anand,Fantasy,5.9
King 63,2025,148701895.0,464137944.0,315436049,Ranbir Kapoor,492618188,Zoya Akhtar,Musical,4.1
Tiger 64,2017,417036549.0,625082407.0,208045858,Deepika Padukone,275600541,Siddharth Anand,Crime,8.4
Hero 65,2021,322220279.0,668452972.0,346232693,Hrithik Roshan,317143528,Anurag Kashyap,Fantasy,9.5
Hero 66,2008,133769169.0,213322434.0,79553265,Deepika Padukone,123392904,Anurag Kashyap,Drama,8.1
Fire 67,2015,158444607.0,886461823.0,728017216,Kartik Aaryan,428133505,Zoya Akhtar,Drama,8.6
Fire 68,2017,77958709.0,322498259.0,244539550,Aamir Khan,49273432,Zoya Akhtar,Comedy,
Hero 69,2015,267007733.0,689957508.0,422949775,Ranveer Singh,118979491,Rajkumar Hirani,Thriller,9.2
Zara 70,2018,347931089.0,1035002263.0,687071174,Aamir Khan,101457818,Imtiaz Ali,Thriller,4.5
Legend 71,2025,342010824.0,534340538.0,192329714,Kareena Kapoor,300553993,Karan Johar,Crime,9.0
Legend 72,2019,42335898.0,646922102.0,604586204,Deepika Padukone,73275616,Sanjay Leela Bhansali,Romance,5.5
Sultan 73,2000,229321201.0,663045867.0,433724666,Deepika Padukone,338799956,Siddharth Anand,Thriller,4.2
Zara 74,2021,135318448.0,1077360381.0,942041933,Ranbir Kapoor,442961951,Sanjay Leela Bhansali,Fantasy,4.6
Sultan 75,2002,42017929.0,170176163.0,128158234,Kareena Kapoor,185147832,Zoya Akhtar,Crime,4.7
Warrior 76,2017,275104289.0,,420040006,Shah Rukh Khan,341068488,Rajkumar Hirani,Fantasy,8.0
Shadow 77,2026,471986477.0,1039601816.0,567615339,Kartik Aaryan,31137631,Zoya Akhtar,Action,8.2
Hero 78,2005,324246448.0,742274384.0,418027936,Alia Bhatt,457144427,Siddharth Anand,Drama,6.6
Sultan 79,2010,231000275.0,925826709.0,694826434,Hrithik Roshan,174735751,Karan Johar,Musical,4.2
Storm 80,2012,474345335.0,976888853.0,502543518,Kangana Ranaut,20617973,Siddharth Anand,Fantasy,4.3
Tiger 81,2024,37708863.0,206277860.0,168568997,Ranbir Kapoor,314860050,Imtiaz Ali,Thriller,6.4
Legend 82,2025,138471847.0,850595353.0,712123506,Salman Khan,186832711,Rajkumar Hirani,Musical,6.2
Zara 83,2020,456753467.0,572078702.0,115325235,Hrithik Roshan,404723481,Zoya Akhtar,Musical,7.9
Tiger 84,2017,87654064.0,449526414.0,361872350,Akshay Kumar,341788396,Imtiaz Ali,Drama,5.5
Warrior 85,2008,450529146.0,403283572.0,-47245574,Ranbir Kapoor,409795655,Zoya Akhtar,Crime,8.8
Storm 86,2017,212513106.0,651435663.0,438922557,Ranveer Singh,486863850,Sanjay Leela Bhansali,Romance,
Fire 87,2015,,1319404502.0,930788168,Kareena Kapoor,224671914,Karan Johar,Comedy,6.7
Love 88,2003,479327382.0,1336681554.0,857354172,Hrithik Roshan,73532310,Siddharth Anand,Action,8.0
Tiger 89,2025,152283022.0,465810378.0,313527356,Kartik Aaryan,391892951,Karan Johar,Drama,8.7
King 90,2020,395858478.0,1298738502.0,902880024,Kareena Kapoor,281964808,Rajkumar Hirani,Drama,5.3
Zara 91,2013,62851249.0,,766440738,Alia Bhatt,397898510,Rohit Shetty,Crime,4.9
Alpha 92,2009,202448542.0,554931096.0,352482554,Ajay Devgn,98152188,Sanjay Leela Bhansali,Musical,6.3
Legend 93,2012,342704469.0,1026214639.0,683510170,Akshay Kumar,287183069,Imtiaz Ali,Romance,
Storm 94,2014,493833125.0,752675271.0,258842146,Alia Bhatt,313452642,Imtiaz Ali,Drama,6.4
Queen 95,2022,144270462.0,584794174.0,440523712,Kangana Ranaut,182200336,Sanjay Leela Bhansali,Fantasy,8.7
Hero 96,2022,168500806.0,142058269.0,-26442537,Kangana Ranaut,373384442,Karan Johar,Thriller,4.0
Mission 97,2019,410061254.0,893418115.0,483356861,Kangana Ranaut,173649315,Sanjay Leela Bhansali,Horror,5.2
Storm 98,2021,375531295.0,1225688923.0,850157628,Salman Khan,357288135,Rohit Shetty,Action,5.7
Zara 99,2009,185405995.0,938007460.0,752601465,Ajay Devgn,114296046,Sanjay Leela Bhansali,Comedy,8.3
Hero 100,2026,98339115.0,324258638.0,225919523,Kangana Ranaut,278690083,Zoya Akhtar,Horror,8.4
Raja 101,2021,,1072949060.0,674138175,Ajay Devgn,474055608,Anurag Kashyap,Drama,8.3
Shadow 102,2023,370960219.0,602453890.0,231493671,Kartik Aaryan,224561504,Anurag Kashyap,Drama,7.7
King 103,2019,128845609.0,,645411453,Shah Rukh Khan,361129883,Siddharth Anand,Thriller,
Tiger 104,2003,62179558.0,264294169.0,202114611,Ayushmann Khurrana,92834081,Karan Johar,Crime,6.0
Legend 105,2023,400089949.0,516007648.0,115917699,Ajay Devgn,371608518,Rohit Shetty,Crime,7.4
Raja 106,2014,248744268.0,1219395108.0,970650840,Akshay Kumar,479266325,Anurag Kashyap,Drama,9.4
Alpha 107,2012,158112723.0,311918109.0,153805386,Shah Rukh Khan,475284348,Siddharth Anand,Drama,
Storm 108,2010,140765052.0,225974789.0,85209737,Kareena Kapoor,323105493,Sanjay Leela Bhansali,Drama,8.6
Raja 109,2010,425735965.0,534171054.0,108435089,Kareena Kapoor,339965205,Rajkumar Hirani,Thriller,8.7
Sultan 110,2003,364902617.0,1245243954.0,880341337,Aamir Khan,90761320,Rajkumar Hirani,Horror,8.3
Alpha 111,2004,408206851.0,810209810.0,402002959,Ayushmann Khurrana,81015005,Rohit Shetty,Crime,6.5
Raja 112,2019,,764152644.0,730871219,Kareena Kapoor,485456829,Zoya Akhtar,Crime,7.5
Queen 113,2021,67961564.0,544383733.0,476422169,Deepika Padukone,258135712,Rohit Shetty,Drama,5.8
Legend 114,2017,392334121.0,691499333.0,299165212,Ajay Devgn,340722309,Zoya Akhtar,Crime,6.8
Shadow 115,2020,481214935.0,1256882381.0,775667446,Ayushmann Khurrana,406997981,Sanjay Leela Bhansali,Fantasy,6.5
Queen 116,2023,61048821.0,346645058.0,285596237,Ajay Devgn,187784815,Zoya Akhtar,Horror,9.2
Zara 117,2002,241861940.0,295547205.0,53685265,Deepika Padukone,416638082,Anurag Kashyap,Comedy,7.1
Zara 118,2013,199836522.0,1087865297.0,888028775,Alia Bhatt,422805791,Karan Johar,Action,9.3
Raja 119,2004,362582616.0,830329542.0,467746926,Akshay Kumar,474877221,Rohit Shetty,Horror,8.6
Storm 120,2013,463739223.0,1016071554.0,552332331,Kareena Kapoor,459389575,Rajkumar Hirani,Thriller,4.2
King 121,2000,107391367.0,,884007971,Salman Khan,324041322,Karan Johar,Drama,4.8
Raja 122,2012,235395852.0,672494309.0,437098457,Ranveer Singh,104508460,Anurag Kashyap,Thriller,8.0
Alpha 123,2004,94508794.0,854578150.0,760069356,Kartik Aaryan,46716032,Rohit Shetty,Thriller,6.4
Raja 124,2024,285063830.0,357274447.0,72210617,Ranveer Singh,250808125,Rohit Shetty,Thriller,7.7
Raja 125,2012,331760138.0,340581821.0,8821683,Aamir Khan,129748830,Zoya Akhtar,Romance,8.2
Tiger 126,2023,241206151.0,379857011.0,138650860,Salman Khan,224122316,Sanjay Leela Bhansali,Musical,7.1
Fire 127,2001,244193614.0,214317189.0,-29876425,Hrithik Roshan,61802168,Anurag Kashyap,Fantasy,7.2
Alpha 128,2010,102273711.0,912686815.0,810413104,Kartik Aaryan,267012641,Anurag Kashyap,Drama,6.4
Zara 129,2012,477359236.0,760514006.0,283154770,Deepika Padukone,202274806,Sanjay Leela Bhansali,Horror,8.3
Raja 130,2024,197569419.0,524559885.0,326990466,Deepika Padukone,459669680,Imtiaz Ali,Romance,4.6
Storm 131,2020,50454981.0,190664182.0,140209201,Kareena Kapoor,357127430,Siddharth Anand,Crime,8.1
Legend 132,2020,351073187.0,971648340.0,620575153,Ranveer Singh,483989007,Anurag Kashyap,Comedy,6.4
Legend 133,2001,198947540.0,693696374.0,494748834,Shah Rukh Khan,186648945,Siddharth Anand,Crime,4.2
Love 134,2002,340180112.0,,587888347,Ayushmann Khurrana,226417459,Siddharth Anand,Musical,9.2
Legend 135,2020,111060294.0,406297029.0,295236735,Kartik Aaryan,275351388,Imtiaz Ali,Action,6.5
Zara 136,2016,356886840.0,492170562.0,135283722,Aamir Khan,153006398,Siddharth Anand,Crime,6.9
Queen 137,2013,425787616.0,739106572.0,313318956,Alia Bhatt,340987531,Rajkumar Hirani,Horror,4.4
Fire 138,2021,496589031.0,1093734099.0,597145068,Kangana Ranaut,100731065,Anurag Kashyap,Drama,7.2
Fire 139,2021,220430840.0,308891626.0,88460786,Kartik Aaryan,400552363,Rohit Shetty,Thriller,7.1
Fire 140,2026,406626631.0,1092584778.0,685958147,Ayushmann Khurrana,70172179,Karan Johar,Musical,6.0
Storm 141,2015,113082025.0,306330768.0,193248743,Salman Khan,103185559,Rohit Shetty,Thriller,8.6
Mission 142,2016,30265528.0,691006638.0,660741110,Ranveer Singh,490509784,Imtiaz Ali,Fantasy,4.8
Mission 143,2005,397182174.0,817130421.0,419948247,Aamir Khan,240578038,Anurag Kashyap,Romance,9.3
Raja 144,2017,138402608.0,420691226.0,282288618,Kareena Kapoor,441105567,Siddharth Anand,Romance,6.0
Hero 145,2024,215016203.0,705008152.0,489991949,Ayushmann Khurrana,244766817,Imtiaz Ali,Romance,8.4
Love 146,2011,307716795.0,1260906860.0,953190065,Shah Rukh Khan,401930491,Rohit Shetty,Thriller,4.5
Love 147,2013,59238347.0,1025441845.0,966203498,Akshay Kumar,458464220,Siddharth Anand,Horror,9.1
Queen 148,2002,211279709.0,402376369.0,191096660,Aamir Khan,191092636,Rohit Shetty,Horror,8.4
Fire 149,2026,,849313239.0,764799481,Deepika Padukone,271851583,Siddharth Anand,Action,9.0
Fire 150,2019,,697811508.0,404466340,Shah Rukh Khan,436704508,Zoya Akhtar,Romance,5.7
Tiger 151,2002,69516376.0,917902968.0,848386592,Hrithik Roshan,340371833,Rajkumar Hirani,Musical,
King 152,2007,316372750.0,713658805.0,397286055,Salman Khan,376681627,Rohit Shetty,Musical,9.4
Warrior 153,2017,20916896.0,,369246503,Kangana Ranaut,272401850,Rajkumar Hirani,Fantasy,9.4
King 154,2007,403494713.0,1059055187.0,655560474,Alia Bhatt,75654115,Anurag Kashyap,Comedy,4.2
Storm 155,2021,259442517.0,956111043.0,696668526,Hrithik Roshan,359160602,Imtiaz Ali,Comedy,4.3
Alpha 156,2025,117089550.0,1018199736.0,901110186,Aamir Khan,189434213,Zoya Akhtar,Musical,
Shadow 157,2006,163604617.0,496902720.0,333298103,Kangana Ranaut,439211127,Rajkumar Hirani,Horror,5.5
Tiger 158,2012,192018902.0,1187546645.0,995527743,Salman Khan,286397079,Siddharth Anand,Horror,9.1
Zara 159,2013,333439648.0,1166421875.0,832982227,Salman Khan,312849337,Zoya Akhtar,Horror,4.6
Fire 160,2013,99466728.0,790096050.0,690629322,Hrithik Roshan,208735351,Siddharth Anand,Action,8.0
Shadow 161,2025,40793878.0,71368716.0,30574838,Alia Bhatt,362261937,Karan Johar,Horror,
Love 162,2019,374046188.0,1162973529.0,788927341,Hrithik Roshan,38682554,Imtiaz Ali,Drama,5.3
Alpha 163,2019,92376487.0,771513817.0,679137330,Hrithik Roshan,219160055,Anurag Kashyap,Crime,8.2
Shadow 164,2008,144009235.0,1125359791.0,981350556,Shah Rukh Khan,33912117,Imtiaz Ali,Crime,6.8
Fire 165,2014,125196616.0,732194740.0,606998124,Ranbir Kapoor,392578019,Siddharth Anand,Romance,4.7
Tiger 166,2002,445140968.0,1127356932.0,682215964,Kangana Ranaut,191577377,Anurag Kashyap,Drama,7.0
Fire 167,2022,352362593.0,489291392.0,136928799,Kareena Kapoor,214074636,Sanjay Leela Bhansali,Drama,9.4
King 168,2017,317239093.0,663354444.0,346115351,Hrithik Roshan,451462602,Imtiaz Ali,Drama,4.4
Queen 169,2024,229812949.0,1063866894.0,834053945,Kartik Aaryan,59594612,Imtiaz Ali,Horror,7.5
Mission 170,2026,428900471.0,970858032.0,541957561,Alia Bhatt,335565200,Imtiaz Ali,Comedy,6.4
Sultan 171,2009,98399598.0,222310298.0,123910700,Ranveer Singh,400819791,Sanjay Leela Bhansali,Horror,9.2
Raja 172,2020,305730735.0,550420288.0,244689553,Salman Khan,355556324,Zoya Akhtar,Musical,4.5
Sultan 173,2021,345264709.0,1069038246.0,723773537,Kartik Aaryan,201258135,Rajkumar Hirani,Action,4.4
Raja 174,2024,317163822.0,714470473.0,397306651,Kartik Aaryan,363055786,Rajkumar Hirani,Crime,8.9
Raja 175,2025,443442361.0,1128945674.0,685503313,Ajay Devgn,179683594,Siddharth Anand,Drama,7.8
King 176,2019,87131540.0,372764439.0,285632899,Kangana Ranaut,405668137,Anurag Kashyap,Horror,9.4
King 177,2007,260435553.0,341992452.0,81556899,Ranbir Kapoor,261375021,Sanjay Leela Bhansali,Comedy,4.5
Raja 178,2005,446732592.0,748314123.0,301581531,Kartik Aaryan,407152879,Anurag Kashyap,Romance,8.2
Hero 179,2015,22442682.0,69132155.0,46689473,Ajay Devgn,291358429,Siddharth Anand,Romance,5.2
Mission 180,2026,361253182.0,1033366682.0,672113500,Hrithik Roshan,173409995,Rajkumar Hirani,Drama,6.4
King 181,2001,225060622.0,229990771.0,4930149,Kartik Aaryan,321623135,Sanjay Leela Bhansali,Horror,7.0
Hero 182,2026,344600275.0,1025172753.0,680572478,Kartik Aaryan,83786181,Imtiaz Ali,Drama,6.2
Storm 183,2004,116868386.0,713758056.0,596889670,Ayushmann Khurrana,235493049,Rajkumar Hirani,Action,4.2
Sultan 184,2019,489496425.0,993016494.0,503520069,Salman Khan,196075323,Anurag Kashyap,Comedy,6.2
Warrior 185,2026,283650673.0,805246214.0,521595541,Hrithik Roshan,400501785,Zoya Akhtar,Crime,8.5
Legend 186,2009,437754480.0,1352798306.0,915043826,Deepika Padukone,488204646,Rajkumar Hirani,Crime,5.5
Raja 187,2023,37571093.0,614124441.0,576553348,Hrithik Roshan,111542966,Karan Johar,Comedy,8.5
Raja 188,2000,246780778.0,533605515.0,286824737,Ajay Devgn,101299038,Karan Johar,Romance,6.3
Fire 189,2023,43437011.0,751257397.0,707820386,Salman Khan,298465928,Sanjay Leela Bhansali,Musical,5.8
Sultan 190,2014,499692929.0,1022133754.0,522440825,Ranveer Singh,313278201,Anurag Kashyap,Thriller,7.4
Raja 191,2009,424021033.0,684336863.0,260315830,Deepika Padukone,131281418,Siddharth Anand,Horror,6.6
Hero 192,2003,317883012.0,994400619.0,676517607,Ayushmann Khurrana,223846761,Karan Johar,Horror,9.3
Fire 193,2002,195952495.0,1138100284.0,942147789,Hrithik Roshan,372172315,Zoya Akhtar,Crime,5.2
Hero 194,2004,68640574.0,679718753.0,611078179,Deepika Padukone,335052226,Sanjay Leela Bhansali,Romance,4.3
Zara 195,2013,187325037.0,907582387.0,720257350,Hrithik Roshan,73979634,Imtiaz Ali,Action,9.3
Mission 196,2015,266328220.0,914838821.0,648510601,Akshay Kumar,425826658,Zoya Akhtar,Horror,5.6
Raja 197,2017,406579305.0,1133020996.0,726441691,Kangana Ranaut,40024342,Imtiaz Ali,Fantasy,8.9
Queen 198,2025,275957205.0,426007790.0,150050585,Deepika Padukone,488307495,Zoya Akhtar,Action,4.1
Hero 199,2014,354301978.0,887666431.0,533364453,Ayushmann Khurrana,285167210,Imtiaz Ali,Musical,6.6
Tiger 200,2020,148118028.0,869706947.0,721588919,Salman Khan,27561393,Anurag Kashyap,Thriller,7.1
Mission 201,2012,453986782.0,863229650.0,409242868,Ayushmann Khurrana,196054286,Rohit Shetty,Fantasy,7.7
Raja 202,2000,150008029.0,,361859868,Akshay Kumar,259839307,Zoya Akhtar,Horror,5.7
Fire 203,2007,43352745.0,710382630.0,667029885,Shah Rukh Khan,269857032,Zoya Akhtar,Comedy,6.2
Hero 204,2022,73037096.0,708848156.0,635811060,Ranbir Kapoor,217323628,Sanjay Leela Bhansali,Romance,9.3
King 205,2013,386851558.0,926587616.0,539736058,Hrithik Roshan,426599465,Sanjay Leela Bhansali,Romance,7.7
Warrior 206,2022,204231772.0,238093926.0,33862154,Kartik Aaryan,80241639,Rajkumar Hirani,Musical,9.0
Love 207,2016,247211342.0,322023112.0,74811770,Alia Bhatt,130274083,Siddharth Anand,Drama,8.9
Queen 208,2014,312747515.0,324741907.0,11994392,Ayushmann Khurrana,268237462,Zoya Akhtar,Action,6.2
Alpha 209,2013,194967526.0,897000066.0,702032540,Shah Rukh Khan,310534942,Rajkumar Hirani,Drama,9.4
Sultan 210,2024,354416111.0,1087484750.0,733068639,Alia Bhatt,245680099,Anurag Kashyap,Fantasy,6.5
Shadow 211,2017,81398357.0,733125247.0,651726890,Kangana Ranaut,206707539,Rohit Shetty,Comedy,9.5
Love 212,2000,415970735.0,390382599.0,-25588136,Ranbir Kapoor,268573324,Karan Johar,Musical,6.1
Raja 213,2023,420969279.0,492135293.0,71166014,Aamir Khan,454585289,Karan Johar,Action,5.3
Shadow 214,2022,478265478.0,480531280.0,2265802,Akshay Kumar,417574965,Rajkumar Hirani,Fantasy,6.4
Sultan 215,2016,165297134.0,366726149.0,201429015,Kangana Ranaut,412730459,Anurag Kashyap,Horror,5.3
Queen 216,2009,,173174902.0,15452764,Ayushmann Khurrana,337648866,Imtiaz Ali,Fantasy,7.1
Queen 217,2025,291568960.0,583807478.0,292238518,Deepika Padukone,243512586,Karan Johar,Comedy,5.6
Raja 218,2009,470388947.0,1180143754.0,709754807,Salman Khan,452597783,Siddharth Anand,Action,7.1
Raja 219,2008,119165577.0,423782762.0,304617185,Alia Bhatt,62450614,Siddharth Anand,Horror,4.5
Shadow 220,2019,333691310.0,326155173.0,-7536137,Kangana Ranaut,59075791,Sanjay Leela Bhansali,Musical,5.2
Mission 221,2000,123713431.0,1079981067.0,956267636,Akshay Kumar,418076470,Rohit Shetty,Crime,9.0
Raja 222,2017,182665742.0,965367437.0,782701695,Ranbir Kapoor,224366217,Siddharth Anand,Musical,7.6
Tiger 223,2003,441008889.0,1166694556.0,725685667,Hrithik Roshan,428896437,Anurag Kashyap,Romance,6.0
Sultan 224,2000,150002034.0,694115800.0,544113766,Kartik Aaryan,330924988,Karan Johar,Thriller,4.8
Tiger 225,2017,361439972.0,1324477314.0,963037342,Alia Bhatt,201228444,Zoya Akhtar,Crime,9.3
Storm 226,2011,100873839.0,201153161.0,100279322,Deepika Padukone,313424824,Siddharth Anand,Comedy,9.0
Alpha 227,2026,464567196.0,494378865.0,29811669,Kangana Ranaut,378745491,Rajkumar Hirani,Action,6.3
Alpha 228,2006,281513292.0,721149936.0,439636644,Ranveer Singh,52453908,Siddharth Anand,Crime,
Fire 229,2008,297622203.0,1297182661.0,999560458,Ranbir Kapoor,29203361,Karan Johar,Comedy,4.6
Warrior 230,2008,447664893.0,778243126.0,330578233,Ranbir Kapoor,446778193,Karan Johar,Drama,6.1
Raja 231,2009,377242051.0,1216366931.0,839124880,Kangana Ranaut,63280879,Rajkumar Hirani,Drama,6.2
Fire 232,2005,54391773.0,541110630.0,486718857,Kangana Ranaut,252953470,Anurag Kashyap,Drama,8.9
Fire 233,2018,,506368371.0,241086098,Aamir Khan,59915310,Zoya Akhtar,Musical,7.1
Raja 234,2018,87412255.0,845139339.0,757727084,Kangana Ranaut,402634017,Karan Johar,Drama,5.6
Shadow 235,2017,188096102.0,550247835.0,362151733,Kareena Kapoor,417147666,Imtiaz Ali,Drama,6.8
Love 236,2002,192854337.0,792649323.0,599794986,Kareena Kapoor,349566387,Karan Johar,Horror,4.2
King 237,2017,211555833.0,625249034.0,413693201,Salman Khan,384908399,Karan Johar,Drama,8.2
Hero 238,2004,214010941.0,,714157523,Kareena Kapoor,360322947,Imtiaz Ali,Fantasy,5.7
King 239,2024,154829757.0,214599908.0,59770151,Salman Khan,66867345,Imtiaz Ali,Fantasy,
King 240,2017,59963494.0,650906353.0,590942859,Kartik Aaryan,441142332,Anurag Kashyap,Fantasy,4.1
Warrior 241,2007,317068916.0,826600650.0,509531734,Salman Khan,387926222,Karan Johar,Comedy,4.8
Queen 242,2008,236077596.0,507934125.0,271856529,Hrithik Roshan,440190946,Rohit Shetty,Horror,5.4
Raja 243,2014,67430355.0,162911130.0,95480775,Ranbir Kapoor,23633203,Karan Johar,Horror,8.6
Queen 244,2026,452132113.0,1325022299.0,872890186,Alia Bhatt,339112270,Imtiaz Ali,Thriller,5.8
